chr	pos	rate	cM
chr4	167596	0.00843275	0
chr4	200631	0.0108068	0.00027857589625
chr4	252804	0.0211334	0.00084239907265
chr4	282499	0.105899	0.00146995538565
chr4	305291	0.555676	0.00388360539365
chr4	308010	7.10127	0.00539448843765
chr4	315673	11.2961	0.05981152044765
chr4	321902	0.0425086	0.13017492734765
chr4	338851	0.0444513	0.13089540560905
chr4	352955	0.0242162	0.13152234674425
chr4	367927	0.833233	0.13188491169065
chr4	367956	0.222151	0.13190907544765
chr4	415311	0.68208	0.14242903605265
chr4	419565	0.166556	0.14533060437265
chr4	452106	0.260714	0.15075050316865
chr4	470103	0.545027	0.15544257302665
chr4	475468	0.0141098	0.15836664288165
chr4	497138	0.0515695	0.15867240224765
chr4	500500	0.157871	0.15884577890665
chr4	502911	10.334	0.15922640588765
chr4	507001	0.241833	0.20149246588765
chr4	509178	0.160033	0.20201893632865
chr4	514201	0.241599	0.20282278208765
chr4	517461	0.0286547	0.20361039482765
chr4	533399	0.0575959	0.20406709343625
chr4	540025	4.21502	0.20444872386965
chr4	541182	1.87868	0.20932550200965
chr4	644410	0.0500439	0.40325788104965
chr4	658304	4.02764	0.40395319099625
chr4	686563	26.8348	0.51777026975625
chr4	694613	6.52599	0.73379040975625
chr4	696848	0.0743782	0.74837599740625
chr4	703813	0.0415593	0.74889404156925
chr4	712222	0.0185432	0.74924351372295
chr4	732261	0.0563019	0.74961510090775
chr4	735150	0.050178	0.74977775709685
chr4	741742	0.367247	0.75010853047285
chr4	744098	5.30407	0.75097376440485
chr4	747810	6.88944	0.77066247224485
chr4	753944	0.105665	0.81292229720485
chr4	755025	0.0106351	0.81303652106985
chr4	786401	0.0325506	0.81337020796745
chr4	790757	0.0660951	0.81351199838105
chr4	793929	0.105691	0.81372165203825
chr4	795890	0.2177	0.81392891208925
chr4	796405	0.0828607	0.81404102758925
chr4	798511	0.39878	0.81421553222345
chr4	798817	1.40231	0.81433755890345
chr4	798962	10.1086	0.81454089385345
chr4	809593	0.416058	0.92200542045345
chr4	809787	0.0778713	0.92208613570545
chr4	812598	0.0304493	0.92230503192975
chr4	821490	0.0657519	0.92257578710535
chr4	830601	0.0585473	0.92317485266625
chr4	843184	0.398543	0.92391155334215
chr4	843508	1.19474	0.92404068127415
chr4	852313	0.722232	0.93456036697415
chr4	865227	0.0837436	0.94388727102215
chr4	867866	0.0444508	0.94410827038255
chr4	870914	0.0120524	0.94424375642095
chr4	894255	0.0453511	0.94452507148935
chr4	896486	2.06678	0.94462624979345
